cd_nom	taxa_name	level_1_alp	level_1_mc
6748	Sphagnum flexuosum Dozy & Molk.	1	1
6750	Sphagnum fuscum (Schimp.) H.Klinggr.	1	1
6751	Sphagnum girgensohnii Russow	1	1
6754	Sphagnum auriculatum Schimp.	1	1
6760	Sphagnum magellanicum Brid.	1	1
6768	Sphagnum obtusum Warnst.	1	1
6769	Sphagnum palustre L.	1	1
6774	Sphagnum papillosum Lindb.	1	1
6776	Sphagnum platyphyllum (Lindb. ex Braithw.) Warnst.	1	0
6780	Sphagnum quinquefarium (Braithw.) Warnst.	0	1
6784	Sphagnum rubellum Wilson	1	1
6785	Sphagnum russowii Warnst.	1	1
6789	Sphagnum squarrosum Crome	1	1
6790	Sphagnum subnitens Russow & Warnst.	1	1
6794	Sphagnum subsecundum Nees	1	1
6795	Sphagnum tenellum (Brid.) Pers. ex Brid.	1	1
6797	Sphagnum teres (Schimp.) Ångstr.	1	1
6802	Sphagnum warnstorfii Russow	1	1
6820	Phaeoceros laevis (L.) Prosk.	1	0
6830	Andreaea frigida Huebener	1	1
6833	Andreaea rothii F.Weber & D.Mohr	1	1
7990	Anthoceros punctatus L.	1	1
159445	Hamatocaulis vernicosus (Mitt.) HedenÃ¤s	1	1
433975	Polytrichastrum alpinum (Hedw.) G.L.Sm.	0	1
433984	Polytrichum uliginosum (Wallr.) Schriebl	1	0
433994	Encalypta longicolla Bruch	1	0
433999	Entosthodon muhlenbergii (Turner) Fife	1	1
434000	Entosthodon pulchellus (H.Philib.) BruguÃ©s	1	1
434012	Grimmia capillata De Not.	1	0
434014	Grimmia dissimulata E.Maier	1	1
434017	Grimmia longirostris Hook.	1	1
434020	Grimmia ramondii (Lam. & DC.) Margad.	1	1
434055	Schistidium pruinosum (Wilson ex Schimp.) G.Roth	1	1
434074	Seligeria carniolica (Breidl. & Beck) Nyholm	1	0
434157	Pottiopsis caespitosa (Brid.) Blockeel & A.J.E.Sm.	1	1
434169	Aloina bifrons (De Not.) Delgad.	1	1
434178	Bryoerythrophyllum ferruginascens (Stirt.) Giacom.	1	1
434191	Didymodon brachyphyllus (Sull.) R.H.Zander	1	1
434193	Didymodon giganteus (Funck) Jur.	1	0
434194	Didymodon glaucus Ryan	1	0
434198	Didymodon nicholsonii Culm.	1	1
434203	Hennediella heimii (Hedw.) R.H.Zander	1	1
434207	Leptophascum leptophyllum (Müll.Hal.) J.Guerra & M.J.Cano	1	1
434208	Microbryum curvicollum (Hedw.) R.H.Zander	1	1
434209	Microbryum davallianum (Sm.) R.H.Zander	1	1
434214	Microbryum starckeanum (Hedw.) R.H.Zander	1	1
434228	Syntrichia caninervis Mitt.	1	0
434234	Syntrichia latifolia (Bruch ex Hartm.) Huebener	1	0
434249	Tortula cernua (Huebener) Lindb.	1	1
434291	Orthotrichum shawii Wilson	1	1
434299	Ulota macrospora E.Bauer & Warnst.	1	0
434300	Ulota rehmannii Jur.	1	1
434303	Zygodon stirtonii Schimp. ex Stirt.	1	1
434328	Bryum gemmiferum R.Wilczek & Demaret	1	1
434343	Pohlia andrewsii A.J.Shaw	1	1
434377	Campyliadelphus chrysophyllus (Brid.) R.S.Chopra	0	1
434378	Campyliadelphus elodes (Lindb.) Kanda	1	0
434387	Hygroamblystegium varium (Hedw.) Mönk.	1	0
434441	Oxyrrhynchium schleicheri (R.Hedw.) RÃ¶ll	1	1
434445	Sciuro-hypnum flotowianum (Sendtn.) Ignatov & Huttunen	1	1
434446	Sciuro-hypnum glaciale (Schimp.) Ignatov & Huttunen	1	0
434449	Sciuro-hypnum ornellanum (Molendo) Ignatov & Huttunen	1
434450	Sciuro-hypnum plumosum (Hedw.) Ignatov & Huttunen	1	0
434453	Sciuro-hypnum starkei (Brid.) Ignatov & Huttunen	1	1
434458	Brachythecium tommasinii (Sendtn. ex Boulay) Ignatov & Huttunen	0	1
434468	Calliergonella lindbergii (Mitt.) HedenÃ¤s	1	1
434473	Hypnum procerrimum Molendo	1	0
434474	Hypnum sauteri Schimp.	1	0
434483	Isopterygiopsis pulchella (Hedw.) Z.Iwats.	1	1
434521	Sphagnum majus subsp. norvegicum Flatberg	1	1
434530	Andreaea rothii subsp. falcata (Schimp.) Lindb.	1	1
434586	Crossidium squamiferum var. pottioideum (De Not.) Mönk.	1	0
434587	Crossidium squamiferum var. squamiferum (Viv.) Jur.	1	1
434600	Syntrichia montana var. montana Nees	0	1
434656	Eurhynchiastrum pulchellum var. pulchellum (Hedw.) Ignatov & Huttunen	1	0
434666	Hypnum cupressiforme var. subjulaceum Molendo	1	0
436028	Imbribryum muehlenbeckii (Bruch & Schimp.) N.Pedersen, 2005	1	0
436093	Serpoleskea confervoides (Brid.) Loeske	1	1
436151	Lescuraea patens Lindb.	1	1
436153	Lescuraea saviana (De Not.) E.Lawton	1	1
436220	Campylidium calcareum (Crundw. & Nyholm) Ochyra	0	1
436308	Dicranum undulatum Schrad. ex Brid.	1	0
436534	Oxymitra incrassata (Brot.) SÃ©rgio & Sim-Sim	1	1
436548	Aneura maxima (Schiffn.) Steph.	1	0
436599	Plagiochila bifaria (Sw.) Lindenb.	1	1
436631	Cephaloziella spinigera (Lindb.) Warnst.	1	1
436682	Harpalejeunea molleri (Steph.) Grolle	1	1
718190	Cololejeunea microscopica (Taylor) Schiffn.	1	1
718798	Liochlaena lanceolata Nees	1	1
718835	Solenostoma confertissimum (Nees) Schljakov	1	1
718836	Solenostoma obovatum (Nees) C.Massal.	0	1
718837	Solenostoma sphaerocarpum (Hook.) Steph.	1	1
770367	Syzygiella autumnalis (DC.) K.Feldberg, Vána, Hentschel & Heinrichs	1	1
770423	Fuscocephaloziopsis catenulata (Huebener) Vána & L.Söderstr.	1	1
770437	Odontoschisma fluitans (Nees) L.Söderstr. & Vána	1	1
770790	Drepanocladus trifarius (F.Weber & D.Mohr) Broth. ex Paris	1	0
771005	Pseudocampylium radicale (P.Beauv.) Vanderp. & Hedenäs	1	1
771006	Pseudoamblystegium subtile (Hedw.) Vanderp. & Hedenäs	1	1
778930	Leiomylia anomala (Hook.) J.J.Engel & Braggins	1	1
779733	Metzgeria violacea (Ach. in F.Weber & D.Mohr) Dumort.	1	1
786425	Fuscocephaloziopsis pleniceps (Austin) Vána & L.Söderstr., 2013	1	0
786426	Fuscocephaloziopsis macrostachya (Kaal.) Vána & L.Söderstr.	1	1
