regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Fungi,Basidiomycètes,Autres,40868,"[40867, 40868]","Clavaria argillacea var. sphagnicola Corner, 1950",2,40867,"[40867, 40868]","Clavaria sphagnicola Boud., 1917",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,217394,[217394],"Cheilosia himantopa (Panzer, 1798)",1,1040695,[217394],"Cheilosia himantopus (Panzer, 1798)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,252686,[252686],"Timarcha interstitialis brulerieri Bellier, 1870",1,795696,[252686],"Timarcha interstitialis bruleriei Bellier, 1870",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Gymnospermes,621586,[621586],"Pinus mugo nothosubsp. rotundata (Link) A.E.Murray, 1985",1,621581,[621586],"Pinus rotundata Link, 1830",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,514465,"[29587, 514465]","Leccinellum lepidum (H.Bouchet ex Essette) Bresinsky & Manfr.Binder, 2003",2,1036771,"[29587, 514465]","Leccinellum tlemcenense (Maire) C.Hahn, 2020",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,237488,[237488],"Psallus ambiguus (Fallén, 1807)",1,1039191,[237488],"Mesopsallus ambiguus (Fallén, 1807)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,610916,[610916],"Muscari matritensis Ruíz Rejón, Pascual, C.Ruíz Rejón, Valdés & J.L.Oliv., 1985",1,1026728,[610916],"Muscari matritense Ruíz Rejón, Pascual, C.Ruíz Rejón, Valdés & J.L.Oliv., 1986",1,,,6,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,33582,[33582],"Entoloma cuspidiferum (Kühner & Romagn.) Noordel., 1980",1,1030597,[33582],"Entoloma cuspidiferum Reschke & Noordel., 2022",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,66164,[66164],Chorthippus parallelus parallelus x C. parallelus erythropus ,1,1029806,[66164],Pseudochorthippus parallelus parallelus x P. parallelus erythropus ,1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Chordés,Oiseaux,933126,[933126],"Anser cygnoid (Linnaeus, 1758)",1,1037430,[933126],"Anser cygnoides (Linnaeus, 1758)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
