i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
85714;{85714};1;945634;{85714};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
85904;{85904};1;85904;{85904,612202,718653};3;;;1;cas3: f_cd_ref;Merge attributes if exists;merge
85357;{85357};1;85357;{85357,161543};2;;;1;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
86101;{86101};1;125238;{86101};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
86894;{86894};1;80317;{86894};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
87106;{87106};1;87106;{87106,132363};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
87577;{87577};1;87577;{87577,132462};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
88463;{88463};1;771637;{88463};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
87849;{87849};1;87849;{87849,132541};2;;;7;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
87964;{87964};1;87964;{87964,132568};2;;;14;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
88467;{88467};1;88467;{88467,132676};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
88741;{88741};1;88741;{88741,789027};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
88949;{88949};1;88949;{88949,145240};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
91803;{91803};1;966887;{91803};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
91898;{91898};1;970955;{91898};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
91900;{91900};1;970963;{91900,612442};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
93613;{93613};1;93613;{93613,133577};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
96584;{96584};1;96591;{96584,96591};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
96591;{96591};1;96591;{96584,96591};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
96612;{96612};1;96612;{96612,96615};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
96615;{96615};1;96612;{96612,96615};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
97960;{97960};1;97961;{97960,97961};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
97961;{97961};1;97961;{97960,97961};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
98054;{98054};1;98054;{98054,134480};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
98079;{98079};1;98079;{98079,134495};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
99805;{99805};1;99805;{99805,718232};2;;;3;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
100677;{100677};1;116185;{100677};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
100757;{100757};1;945605;{100757};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
100288;{100288,135088};2;100288;{100288};1;;;;cas2;Keep attributes and medium;split
100288;{100288,135088};2;135088;{135088};1;;;;cas2;Loose attributes and medium now attach to 100288;split
101742;{101742,102657};2;101742;{101742};1;;;;cas2;Keep attributes and medium;split
101813;{101813,102361,102429};3;101813;{101813};1;;;;cas2;Keep attributes and medium;split
101742;{101742,102657};2;102657;{102657};1;;;;cas2;Loose attributes and medium now attach to 101742;split
101864;{102570};1;102570;{102570};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
102078;{101605,102078};2;102078;{102078};1;;;9;cas2;Keep attributes and medium;split
101813;{101813,102361,102429};3;102429;{102429};1;;;;cas2;Loose attributes and medium now attach to 101813;split
101813;{101813,102361,102429};3;968757;{102361};1;;;;cas2;Loose attributes and medium now attach to 101813;split
102078;{101605,102078};2;101605;{101605};1;;;9;cas2;Loose attributes and medium now attach to 102078;split
102296;{102068};1;102068;{102068};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
102304;{102304};1;968717;{102304};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
102675;{102675};1;619691;{102675};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
102345;{102345,102542};2;102345;{102345};1;;;;cas2;Keep attributes and medium;split
102350;{102154,102350};2;102350;{102350};1;;;3;cas2;Keep attributes and medium;split
102519;{101809,102519};2;102519;{102519};1;;;;cas2;Keep attributes and medium;split
102345;{102345,102542};2;102542;{102542};1;;;;cas2;Loose attributes and medium now attach to 102345;split
102350;{102154,102350};2;102154;{102154};1;;;3;cas2;Loose attributes and medium now attach to 102350;split
102519;{101809,102519};2;101809;{101809};1;;;;cas2;Loose attributes and medium now attach to 102519;split
102294;{102294};1;102294;{102294,102453};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
102453;{102453};1;102294;{102294,102453};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
102715;{102715};1;788791;{102715,788791};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
103007;{103007};1;966497;{103007};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
103608;{103608};1;945856;{103608};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
103406;{103406};1;103406;{103406,136789,136793};3;;;4;cas3: f_cd_ref;Merge attributes if exists;merge
104457;{104457};1;91852;{104457};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
105214;{105214};1;105214;{105214,613082};2;;;10;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
106144;{106144};1;106144;{106144,137323};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
106226;{106226};1;106226;{106226,137343};2;;;7;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
106998;{106998};1;95056;{106998};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
107000;{107000};1;719157;{107000};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
107013;{107013};1;95058;{107013};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
107024;{107024};1;95060;{107024};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
107003;{107003};1;107003;{107003,161017};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
107207;{107207};1;107207;{107207,107213};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
107213;{107213};1;107207;{107207,107213};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
109309;{109309};1;109309;{109309,138027};2;;;2;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
111886;{111886};1;111921;{111886};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
112831;{112831};1;717832;{112831};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
112833;{112833};1;112832;{112833};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
113421;{113421};1;113417;{113421};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
113874;{113874};1;113825;{113874};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
113748;{113748};1;113748;{113748,138859};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
115017;{115017};1;959191;{115017};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
114297;{114297};1;114297;{114297,149732};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
116162;{116162};1;150303;{116162};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
116411;{116411};1;116412;{116411};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
116112;{116112};1;116112;{116112,150292};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
116847;{116847};1;964676;{116847};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
116952;{116952};1;116952;{116952,150441};2;;;6;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
118173;{118173};1;118204;{118173};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
118821;{118821};1;952513;{118821};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
118823;{118823};1;952514;{118823};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
119276;{119276};1;119284;{119276};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
119915;{119915};1;119915;{119915,617262};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
120717;{120717};1;120717;{120717,718856};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
